animal,condition,status,n_units,n_windows,observed_s,spikes_before,spikes_after,thinned_pct,nonzero,density_pct,neg_pct,median_w,elapsed_s,note
day1,lightON,ok,126,95,950.1,169261,159974,5.49,486,3.09,94.4,-0.8553,3.7,
day1,ongoing,ok,126,95,950.1,161547,159974,0.97,488,3.1,94.1,-0.8749,3.7,
day2,lightON,ok,31,105,1050.1,57206,54521,4.69,33,3.55,97.0,-0.4577,0.4,
day2,ongoing,ok,31,105,1050.1,55837,54521,2.36,37,3.98,97.3,-0.4377,0.4,
day3,lightON,ok,47,109,1090.1,94800,81898,13.61,79,3.65,98.7,-0.4522,0.6,
day3,ongoing,ok,47,109,1090.1,84040,81898,2.55,80,3.7,98.8,-0.4053,0.6,
day4,lightON,ok,61,109,1090.1,144826,110603,23.63,187,5.11,96.3,-0.5875,1.2,
day4,ongoing,ok,61,109,1090.1,116914,110603,5.4,181,4.95,90.6,-0.4368,1.2,
day5,lightON,ok,71,109,1090.1,114285,103470,9.46,137,2.76,99.3,-0.4864,1.5,
day5,ongoing,ok,71,109,1090.1,106642,103470,2.97,151,3.04,99.3,-0.4973,1.4,
day6,lightON,ok,56,109,1090.1,170380,156644,8.06,324,10.52,100.0,-0.4245,1.2,
day6,ongoing,ok,56,109,1090.1,160058,156644,2.13,313,10.16,100.0,-0.4093,1.4,
night1,lightON,ok,31,105,1050.1,60567,53290,12.01,31,3.33,96.8,-0.5633,0.3,
night1,ongoing,ok,31,105,1050.1,65235,53290,18.31,48,5.16,97.9,-0.6485,0.4,
night2,lightON,ok,34,105,1050.1,47245,37708,20.19,12,1.07,100.0,-0.8154,0.4,
night2,ongoing,ok,34,105,1050.1,43944,37708,14.19,15,1.34,100.0,-0.8263,0.4,
night3,lightON,ok,33,105,1050.1,21428,19942,6.93,6,0.57,83.3,-0.8984,0.4,
night3,ongoing,ok,33,105,1050.1,20339,19942,1.95,6,0.57,83.3,-0.9981,0.4,
night4,lightON,ok,35,105,1050.1,37488,26801,28.51,7,0.59,100.0,-0.7268,0.4,
night4,ongoing,ok,35,105,1050.1,26891,26801,0.33,9,0.76,88.9,-0.7889,0.4,
night5,lightON,ok,24,105,1050.1,33543,32827,2.13,13,2.36,61.5,-0.5117,0.2,
night5,ongoing,ok,24,105,1050.1,34444,32827,4.69,15,2.72,80.0,-0.6114,0.3,
night6,lightON,ok,54,109,1090.1,70938,62014,12.58,48,1.68,95.8,-0.7827,1.0,
night6,ongoing,ok,54,109,1090.1,64167,62014,3.36,56,1.96,96.4,-0.7569,1.1,
night7,lightON,ok,79,108,1080.1,344644,307662,10.73,1148,18.63,100.0,-0.3848,3.2,
night7,ongoing,ok,79,108,1080.1,311580,307662,1.26,1244,20.19,100.0,-0.387,3.0,
